t 1 2 jV0100 
3.93 10 9.8006 -0.0398803
3.94 10 9.80258 -0.0394835
3.95 10 9.80455 -0.0390906
3.96 10 9.80649 -0.0387016
3.97 10 9.80842 -0.0383166
3.98 10 9.81032 -0.0379353
3.99 10 9.81221 -0.0375578
4 10 9.81408 -0.0371841
4.01 10 9.81593 -0.0368141
4.02 10 9.81776 -0.0364478
4.03 10 9.81957 -0.0360852
4.04 10 9.82137 -0.0357261
4.05 10 9.82315 -0.0353706
4.06 10 9.82491 -0.0350187
4.07 10 9.82665 -0.0346702
4.08 10 9.82837 -0.0343252
4.09 10 9.83008 -0.0339837
4.1 10 9.83177 -0.0336456
4.11 10 9.83345 -0.0333108
4.12 10 9.8351 -0.0329793
4.13 10 9.83674 -0.0326512
4.14 10 9.83837 -0.0323263
4.15 10 9.83998 -0.0320046
4.16 10 9.84157 -0.0316862
4.17 10 9.84315 -0.0313709
4.18 10 9.84471 -0.0310587
4.19 10 9.84625 -0.0307497
4.2 10 9.84778 -0.0304437
4.21 10 9.8493 -0.0301408
4.22 10 9.8508 -0.0298409
4.23 10 9.85228 -0.029544
4.24 10 9.85375 -0.02925
4.25 10 9.85521 -0.028959
4.26 10 9.85665 -0.0286708
4.27 10 9.85807 -0.0283855
4.28 10 9.85948 -0.0281031
4.29 10 9.86088 -0.0278235
4.3 10 9.86227 -0.0275466
4.31 10 9.86364 -0.0272725
4.32 10 9.86499 -0.0270011
4.33 10 9.86634 -0.0267325
4.34 10 9.86767 -0.0264665
4.35 10 9.86898 -0.0262031
4.36 10 9.87029 -0.0259424
4.37 10 9.87158 -0.0256843
4.38 10 9.87286 -0.0254287
4.39 10 9.87412 -0.0251757
4.4 10 9.87537 -0.0249252
4.41 10 9.87661 -0.0246772
4.42 10 9.87784 -0.0244316
4.43 10 9.87906 -0.0241885
4.44 10 9.88026 -0.0239478
4.45 10 9.88145 -0.0237096
4.46 10 9.88263 -0.0234736
4.47 10 9.8838 -0.0232401
4.48 10 9.88496 -0.0230088
4.49 10 9.8861 -0.0227799
4.5 10 9.88723 -0.0225532
4.51 10 9.88836 -0.0223288
4.52 10 9.88947 -0.0221066
4.53 10 9.89057 -0.0218867
4.54 10 9.89166 -0.0216689
4.55 10 9.89273 -0.0214533
4.56 10 9.8938 -0.0212398
4.57 10 9.89486 -0.0210285
4.58 10 9.8959 -0.0208192
4.59 10 9.89694 -0.0206121
4.6 10 9.89797 -0.020407
4.61 10 9.89898 -0.0202039
4.62 10 9.89999 -0.0200029
4.63 10 9.90098 -0.0198039
4.64 10 9.90197 -0.0196068
4.65 10 9.90294 -0.0194117
4.66 10 9.90391 -0.0192186
4.67 10 9.90486 -0.0190273
4.68 10 9.90581 -0.018838
4.69 10 9.90675 -0.0186506
4.7 10 9.90768 -0.018465
4.71 10 9.90859 -0.0182812
4.72 10 9.9095 -0.0180993
4.73 10 9.9104 -0.0179193
4.74 10 9.9113 -0.017741
4.75 10 9.91218 -0.0175644
4.76 10 9.91305 -0.0173897
4.77 10 9.91392 -0.0172166
4.78 10 9.91477 -0.0170453
4.79 10 9.91562 -0.0168757
4.8 10 9.91646 -0.0167078
4.81 10 9.91729 -0.0165415
4.82 10 9.91812 -0.016377
4.83 10 9.91893 -0.016214
4.84 10 9.91974 -0.0160527
4.85 10 9.92054 -0.0158929
4.86 10 9.92133 -0.0157348
4.87 10 9.92211 -0.0155782
4.88 10 9.92288 -0.0154232
4.89 10 9.92365 -0.0152698
4.9 10 9.92441 -0.0151178
4.91 10 9.92516 -0.0149674
4.92 10 9.92591 -0.0148185
4.93 10 9.92664 -0.014671
4.94 10 9.92737 -0.014525
4.95 10 9.9281 -0.0143805
4.96 10 9.92881 -0.0142374
4.97 10 9.92952 -0.0140958
4.98 10 9.93022 -0.0139555
4.99 10 9.93092 -0.0138166
5 10 9.9316 -0.0136792
5.01 10 9.93228 -0.013543
5.02 10 9.93296 -0.0134083
5.03 10 9.93363 -0.0132749
5.04 10 9.93429 -0.0131428
5.05 10 9.93494 -0.013012
5.06 10 9.93559 -0.0128825
5.07 10 9.93623 -0.0127544
5.08 10 9.93686 -0.0126274
5.09 10 9.93749 -0.0125018
5.1 10 9.93811 -0.0123774
5.11 10 9.93873 -0.0122542
5.12 10 9.93934 -0.0121323
5.13 10 9.93994 -0.0120116
5.14 10 9.94054 -0.0118921
5.15 10 9.94113 -0.0117737
5.16 10 9.94172 -0.0116566
5.17 10 9.9423 -0.0115406
5.18 10 9.94287 -0.0114258
5.19 10 9.94344 -0.0113121
5.2 10 9.944 -0.0111995
5.21 10 9.94456 -0.0110881
5.22 10 9.94511 -0.0109778
5.23 10 9.94566 -0.0108685
5.24 10 9.9462 -0.0107604
5.25 10 9.94673 -0.0106533
5.26 10 9.94726 -0.0105473
5.27 10 9.94779 -0.0104424
5.28 10 9.94831 -0.0103385
5.29 10 9.94882 -0.0102356
5.3 10 9.94933 -0.0101337
5.31 10 9.94984 -0.0100329
5.32 10 9.95033 -0.00993308
5.33 10 9.95083 -0.00983424
5.34 10 9.95132 -0.00973639
5.35 10 9.9518 -0.00963951
5.36 10 9.95228 -0.0095436
5.37 10 9.95276 -0.00944864
5.38 10 9.95323 -0.00935462
5.39 10 9.95369 -0.00926154
5.4 10 9.95415 -0.00916938
5.41 10 9.95461 -0.00907815
5.42 10 9.95506 -0.00898782
5.43 10 9.95551 -0.00889839
5.44 10 9.95595 -0.00880984
5.45 10 9.95639 -0.00872218
5.46 10 9.95682 -0.0086354
5.47 10 9.95725 -0.00854947
5.48 10 9.95768 -0.0084644
5.49 10 9.9581 -0.00838018
5.5 10 9.95852 -0.00829679
5.51 10 9.95893 -0.00821424
5.52 10 9.95934 -0.00813251
5.53 10 9.95974 -0.00805159
5.54 10 9.96014 -0.00797147
5.55 10 9.96054 -0.00789215
5.56 10 9.96093 -0.00781362
5.57 10 9.96132 -0.00773588
5.58 10 9.96171 -0.0076589
5.59 10 9.96209 -0.00758269
5.6 10 9.96246 -0.00750724
5.61 10 9.96284 -0.00743255
5.62 10 9.96321 -0.00735859
5.63 10 9.96357 -0.00728537
5.64 10 9.96394 -0.00721288
5.65 10 9.96429 -0.00714111
5.66 10 9.96465 -0.00707005
5.67 10 9.965 -0.0069997
5.68 10 9.96535 -0.00693006
5.69 10 9.96569 -0.0068611
5.7 10 9.96604 -0.00679283
5.71 10 9.96637 -0.00672524
5.72 10 9.96671 -0.00665832
5.73 10 9.96704 -0.00659207
5.74 10 9.96737 -0.00652648
5.75 10 9.96769 -0.00646154
5.76 10 9.96801 -0.00639724
5.77 10 9.96833 -0.00633359
5.78 10 9.96865 -0.00627057
5.79 10 9.96896 -0.00620817
5.8 10 9.96927 -0.0061464
5.81 10 9.96957 -0.00608524
5.82 10 9.96988 -0.00602469
5.83 10 9.97018 -0.00596475
5.84 10 9.97047 -0.0059054
5.85 10 9.97077 -0.00584664
5.86 10 9.97106 -0.00578846
5.87 10 9.97135 -0.00573086
5.88 10 9.97163 -0.00567384
5.89 10 9.97191 -0.00561738
5.9 10 9.97219 -0.00556149
5.91 10 9.97247 -0.00550615
5.92 10 9.97274 -0.00545136
5.93 10 9.97301 -0.00539712
5.94 10 9.97328 -0.00534342
5.95 10 9.97355 -0.00529025
5.96 10 9.97381 -0.00523761
5.97 10 9.97407 -0.0051855
5.98 10 9.97433 -0.0051339
5.99 10 9.97459 -0.00508281
6 10 9.97484 -0.00503224
6.01 10 9.97509 -0.00498217
6.02 10 9.97534 -0.00493259
6.03 10 9.97558 -0.00488351
6.04 10 9.97583 -0.00483492
6.05 10 9.97607 -0.00478681
6.06 10 9.9763 -0.00473918
6.07 10 9.97654 -0.00469203
6.08 10 9.97677 -0.00464534
6.09 10 9.977 -0.00459912
6.1 10 9.97723 -0.00455335
6.11 10 9.97746 -0.00450805
6.12 10 9.97768 -0.00446319
6.13 10 9.97791 -0.00441878
6.14 10 9.97813 -0.00437481
6.15 10 9.97834 -0.00433128
6.16 10 9.97856 -0.00428819
6.17 10 9.97877 -0.00424552
6.18 10 9.97898 -0.00420327
6.19 10 9.97919 -0.00416145
6.2 10 9.9794 -0.00412004
6.21 10 9.9796 -0.00407905
6.22 10 9.97981 -0.00403846
6.23 10 9.98001 -0.00399828
6.24 10 9.98021 -0.00395849
6.25 10 9.9804 -0.0039191
6.26 10 9.9806 -0.00388011
6.27 10 9.98079 -0.0038415
6.28 10 9.98098 -0.00380328
6.29 10 9.98117 -0.00376543
6.3 10 9.98136 -0.00372797
6.31 10 9.98155 -0.00369087
6.32 10 9.98173 -0.00365415
6.33 10 9.98191 -0.00361779
6.34 10 9.98209 -0.00358179
6.35 10 9.98227 -0.00354615
6.36 10 9.98245 -0.00351086
6.37 10 9.98262 -0.00347593
6.38 10 9.98279 -0.00344134
6.39 10 9.98296 -0.0034071
6.4 10 9.98313 -0.0033732
6.41 10 9.9833 -0.00333964
6.42 10 9.98347 -0.00330641
6.43 10 9.98363 -0.00327351
6.44 10 9.9838 -0.00324093
6.45 10 9.98396 -0.00320869
6.46 10 9.98412 -0.00317676
6.47 10 9.98427 -0.00314515
6.48 10 9.98443 -0.00311385
6.49 10 9.98459 -0.00308287
6.5 10 9.98474 -0.00305219
6.51 10 9.98489 -0.00302182
6.52 10 9.98504 -0.00299176
6.53 10 9.98519 -0.00296199
6.54 10 9.98534 -0.00293252
6.55 10 9.98548 -0.00290334
6.56 10 9.98563 -0.00287445
6.57 10 9.98577 -0.00284585
6.58 10 9.98591 -0.00281753
6.59 10 9.98605 -0.00278949
6.6 10 9.98619 -0.00276174
6.61 10 9.98633 -0.00273426
6.62 10 9.98646 -0.00270705
6.63 10 9.9866 -0.00268012
6.64 10 9.98673 -0.00265345
6.65 10 9.98686 -0.00262705
6.66 10 9.987 -0.00260091
6.67 10 9.98712 -0.00257503
6.68 10 9.98725 -0.0025494
6.69 10 9.98738 -0.00252404
6.7 10 9.98751 -0.00249892
6.71 10 9.98763 -0.00247406
6.72 10 9.98775 -0.00244944
6.73 10 9.98787 -0.00242507
6.74 10 9.988 -0.00240094
6.75 10 9.98811 -0.00237705
6.76 10 9.98823 -0.00235339
6.77 10 9.98835 -0.00232998
6.78 10 9.98847 -0.00230679
6.79 10 9.98858 -0.00228384
6.8 10 9.98869 -0.00226112
6.81 10 9.98881 -0.00223862
6.82 10 9.98892 -0.00221634
6.83 10 9.98903 -0.00219429
6.84 10 9.98914 -0.00217246
6.85 10 9.98925 -0.00215084
6.86 10 9.98935 -0.00212944
6.87 10 9.98946 -0.00210825
6.88 10 9.98956 -0.00208727
6.89 10 9.98967 -0.0020665
6.9 10 9.98977 -0.00204594
6.91 10 9.98987 -0.00202558
6.92 10 9.98997 -0.00200543
6.93 10 9.99007 -0.00198547
6.94 10 9.99017 -0.00196572
6.95 10 9.99027 -0.00194616
6.96 10 9.99037 -0.00192679
6.97 10 9.99046 -0.00190762
